N;MS;MS%;E;E%;ET;RT;DT
64;6;9.375;12;18.75;58.333332;25;58.333332
128;7;5.46875;15;11.71875;60.000004;26.666668;60.000004
256;8;3.125;16;6.25;62.5;31.25;62.5
512;9;1.7578125;18;3.515625;61.11111;27.777779;61.11111
1024;10;0.9765625;22;2.1484375;63.636364;31.818182;63.636364
1536;10;0.6510416;25;1.6276041;64;32;64
2560;11;0.4296875;32;1.25;65.625;31.25;65.625
3584;11;0.30691963;33;0.92075896;63.636364;30.303032;63.636364
4608;12;0.2604167;39;0.8463542;64.10257;30.769232;64.10257
